104.42,103.87,105.04,104.38,103.39,102.92,102.76,105.05,104.43,104.39,103.9,103.7,103.6,104.5,101.94,102.68,103.54,104.15,103.52,102.32,102.4,102.21,101.91,101.84,101.83,102.29,103.14,102.92,102.87,102.28,102.76,102.28,102.69,103.08,103.79,105.01,106.47,105.75,104.22,102.38,102.48,103.21,103.39
104.05,101.11,100.14,99.52,97.92,97.39,98.18,98.95,98.87,99.05,98.19,97.22,97.79,100.29,99.49,100.51,102.33,103.61,102.96,103.2,103.76,103.13,103.19,104.22,104.53,105.32,105.79,104.29,103.89,103.44,103.85,102.71,102.71,102.99,104.32,106.75,110.22,110.06,109.15,111.53,112.91,112.49,111.3
104.36,103.24,102.49,101.48,101.24,101.89,103.85,104.44,103.92,103.72,103.77,103.45,102.94,104.12,102.81,101.9,102.04,101.36,98.9,98.85,97.83,97.77,97.88,98.28,98.62,98.38,99.19,99.21,98.19,99.05,99.83,99.7,100.63,99.54,99.86,99.51,100.18,101.11,101.23,106.18,106.83,105.91,105.28
103.83,100.26,99.6,98.79,96.28,95.31,96.21,97.32,97.28,97.62,96.23,94.76,95.77,98.73,98.09,99.79,102.71,104.96,104.41,104.78,106.09,105.05,105.12,106.71,107.12,108.03,108.8,106.45,106,104.91,104.81,103,102.63,103.12,105.22,109.27,112.65,111.49,110.94,113.5,115.56,115.25,114.02
104.42,102.1,100.31,100.3,100.31,100.3,100.3,100.3,100.3,100.3,100.3,100.24,100.23,102.23,101.29,101.6,101.58,101.58,101.58,101.63,101.31,101.31,101.31,101.38,101.45,102.47,102.07,101.76,101.76,102.14,103.53,103.48,103.88,104.34,104.36,104.49,109.55,111.59,108.88,109.59,109.76,109.36,107.98
102.42,101.09,100.69,100.72,100.67,100.64,100.62,100.62,100.6,100.47,100.19,100.27,99.99,100.41,99.89,99.89,99.93,99.75,99.56,99.58,99.7,99.85,100.16,100.08,100.06,99.84,100.26,100.22,100.03,100.37,100.47,100.44,100.28,100.26,100.48,100.38,101.76,100.49,101.3,101.22,101.44,101.25,101.31
104.61,103.67,103.06,103.14,102.93,103.21,102.82,102.58,101.93,102.14,101.72,102,101.84,103.1,102.85,102.93,103.08,103.07,103.5,103.56,103.48,103.19,103.93,104.48,104.78,103.43,103.38,102.91,102.98,102.94,103.02,102.96,103.11,103.37,102.9,101.77,101.37,102.27,101.66,101.76,101.79,101.53,101.12
102.71,103.89,104.35,103.59,102.51,102.65,102.51,103.32,103.71,103.9,103.49,102.78,102.15,100.99,100.56,101.32,101.88,101.8,101.47,100.95,100.66,100.37,99.63,98.96,101.03,103.9,106.42,106.41,106.31,104.89,104.93,104.49,105.4,105.63,106.76,107.98,106.86,102.91,102.02,98.74,99.52,100.2,101.1
101.57,101.33,101.36,101.45,101.38,101.32,101.38,101.46,101.41,101.73,101.64,101.75,101.42,101.38,101.22,101.14,101.07,100.99,100.77,100.8,100.75,100.6,100.53,100.5,100.75,100.84,100.89,100.88,100.91,101.05,101.24,101.15,101.19,101.25,101.07,101.08,100.79,100.26,100.49,100.31,100.12,100.21,100.12
123.1,123.01,148.15,148.21,148.2,148.18,148.21,181.84,176.81,176.85,176.83,176.85,176.85,176.88,119.53,119.48,119.44,119.41,108.52,95.13,95.15,95.13,95.15,100.84,100.84,100.84,100.86,100.87,100.87,100.91,106.16,108.43,108.41,108.43,108.41,102.25,102.33,102.34,102.3,102.29,102.28,102.29,102.27
105.72,110.84,116.11,112.24,109.52,105.56,101.66,106.11,107.22,105.76,104.64,107.05,105.24,105.68,104.34,107.1,109.04,111.49,112.6,109.91,108.98,110,106.99,100.16,95.69,94.97,97.92,101.08,102.02,98.95,99.55,99.05,97.04,96.53,97.73,103.76,107.57,104.69,96.72,78.95,75.04,81.34,84.79
99.31,99.47,99.59,99.64,99.71,99.78,99.84,99.9,99.94,99.97,100.03,100.04,99.99,99.99,99.98,99.98,99.98,99.98,99.96,99.93,99.93,99.93,99.89,99.95,100.12,100.12,100.2,100.2,100.17,100.16,100.17,100.2,100.13,100.13,100.09,100.02,99.91,99.68,99.83,99.83,99.84,99.85,99.85
107.9,107.9,107.89,107.89,107.88,107.9,107.91,113.72,106.19,106.18,106.2,106.2,106.2,106.21,106.21,106.21,106.2,106.18,106.17,102.21,102.24,102.24,102.23,102.25,102.25,102.26,102.26,102.26,102.26,102.26,102.26,101.4,102.03,105,105,104.97,104.98,104.88,105.08,105.08,105.08,105.08,105.08
99.84,99.53,100.29,100.15,100.35,101.22,100.33,100.22,100.04,100.22,100.21,100.12,99.85,100.3,99.8,100.07,99.55,99.02,99.81,99.77,99.92,99.77,99.76,99.86,100.02,99.57,100.06,100.02,100.24,100.84,100.93,100.48,100.47,101.21,101.5,101.27,101.66,101.39,99.6,98.46,99.51,98.78,99.37
101.84,101.09,101.51,101.38,100.82,100.86,101.29,101.54,101.35,101.33,101.1,101.34,101.28,101.53,101.51,101.69,101.66,101.75,101.43,101.79,101.88,101.9,102.07,101.89,101.85,101.75,102.06,102.08,102.11,101.96,101.81,101.86,101.91,102.18,101.89,101.83,102.54,103.32,102.34,102.1,102.12,102.12,102.2
